ticker_A,ticker_B,correlation,coint_pval,hedge_ratio,half_life,spread_mean,spread_std
ES,WEC,0.8743,0.00421,0.9572,19.5,0.0712,0.0317
BAC,PNC,0.8949,0.00441,0.9281,20.1,-1.1208,0.0389
MLM,VMC,0.8807,0.00559,1.2601,13.7,-0.6489,0.0436
CFG,RF,0.9345,0.00584,0.9756,22.8,0.85,0.0436
C,USB,0.8557,0.01168,0.9015,42.0,0.6574,0.0687
MA,V,0.9167,0.01665,1.1958,15.1,-0.5604,0.0299
FITB,PNC,0.9029,0.01666,1.1758,33.2,-2.4537,0.0592
NWSA,NWS,0.9721,0.01863,1.0711,18.3,-0.197,0.0199
MCO,SPGI,0.8874,0.02637,0.9851,13.4,-0.0776,0.029
BAC,MET,0.8536,0.037,0.9615,28.7,-0.238,0.0555
EQR,ESS,0.9124,0.04041,0.9907,24.6,-1.3154,0.0337
CFG,TFC,0.8957,0.04042,1.3589,19.7,-1.5942,0.0605
