pair,side,entry_date,exit_date,duration,pnl (%)
ES/WEC,long spread,2022-01-12,2022-02-01,20,1.1363
ES/WEC,long spread,2022-02-24,2022-04-14,49,0.4189
ES/WEC,long spread,2022-05-03,2022-05-06,3,2.4594
ES/WEC,long spread,2022-05-17,2022-05-31,14,1.2869
ES/WEC,long spread,2022-06-17,2022-06-29,12,-2.6759
ES/WEC,long spread,2022-06-30,2022-07-21,21,1.5101
ES/WEC,long spread,2022-10-21,2022-10-24,3,-0.4846
ES/WEC,long spread,2022-10-25,2022-12-02,38,2.1049
ES/WEC,short spread,2023-01-06,2023-01-20,14,3.8224
ES/WEC,long spread,2023-03-01,2023-05-15,75,-3.5152
ES/WEC,long spread,2023-05-30,2023-05-31,1,-1.0636
ES/WEC,long spread,2023-06-01,2023-06-15,14,-2.8596
ES/WEC,long spread,2023-06-16,2023-06-28,12,3.0801
ES/WEC,long spread,2023-08-04,2023-11-16,104,-10.8101
ES/WEC,short spread,2024-06-14,2024-06-21,7,1.6954
ES/WEC,short spread,2024-07-23,2024-08-06,14,1.3871
ES/WEC,long spread,2024-10-09,2024-11-01,23,1.6984
BAC/PNC,long spread,2022-01-14,2022-01-20,6,1.8672
BAC/PNC,short spread,2022-02-08,2022-02-23,15,2.8968
BAC/PNC,long spread,2022-03-08,2022-03-15,7,4.4052
BAC/PNC,long spread,2022-04-18,2022-05-05,17,3.0378
BAC/PNC,long spread,2022-05-27,2022-07-18,52,-2.422
BAC/PNC,short spread,2022-10-19,2022-10-21,2,-1.952
BAC/PNC,short spread,2022-10-24,2022-12-02,39,-0.586
BAC/PNC,short spread,2023-04-12,2023-04-13,1,-1.5976
BAC/PNC,short spread,2023-04-14,2023-04-17,3,-3.3703
BAC/PNC,short spread,2023-04-18,2023-04-27,9,8.1914
BAC/PNC,long spread,2023-09-26,2023-10-04,8,-4.5438
BAC/PNC,long spread,2023-10-05,2023-10-18,13,5.4023
BAC/PNC,long spread,2024-01-17,2024-01-31,14,4.3837
BAC/PNC,short spread,2024-02-21,2024-04-17,56,-2.3628
BAC/PNC,short spread,2024-05-21,2024-05-23,2,-3.1713
BAC/PNC,short spread,2024-05-24,2024-05-28,4,-0.8432
BAC/PNC,short spread,2024-05-29,2024-07-12,44,2.1004
BAC/PNC,long spread,2024-07-26,2024-10-04,70,-4.9233
BAC/PNC,short spread,2024-11-19,2024-12-02,13,1.3978
